,Close,High,Low,Open,Volume
2026-04-03,96600.0,97400.0,95300.0,96200.0,2522536
2026-04-06,95700.0,99000.0,95500.0,96500.0,2040458
2026-04-07,94900.0,97700.0,94000.0,96900.0,2102382
2026-04-08,101200.0,101700.0,99200.0,99200.0,4010457
2026-04-09,100000.0,101700.0,99500.0,100100.0,2195437
2026-04-10,100200.0,101200.0,99500.0,101200.0,2785465
2026-04-13,99300.0,99300.0,96700.0,97900.0,1746075
2026-04-14,99700.0,101300.0,99600.0,100800.0,1937143
2026-04-15,104200.0,105700.0,101600.0,101900.0,5470474
2026-04-16,110800.0,112000.0,106500.0,107800.0,8123993
2026-04-17,108500.0,111800.0,107300.0,111600.0,3591052
2026-04-20,111000.0,114700.0,108600.0,109200.0,5644556
2026-04-21,115700.0,116400.0,112600.0,113500.0,4773848
2026-04-22,115900.0,116800.0,112000.0,115000.0,3779530
2026-04-23,122600.0,123900.0,118100.0,119600.0,8119024
2026-04-24,127100.0,127950.0,122600.0,123000.0,5682618
2026-04-27,128900.0,130300.0,125600.0,130300.0,3984476
2026-04-28,127800.0,129400.0,126300.0,128400.0,3191190
2026-04-29,129200.0,131100.0,126200.0,126200.0,3292329
2026-04-30,127100.0,129900.0,126000.0,129800.0,3380571
2026-05-04,127200.0,129700.0,125600.0,128800.0,3214565
2026-05-06,127000.0,130000.0,126100.0,127900.0,3905996
2026-05-07,136400.0,139200.0,131200.0,131400.0,7805577
2026-05-08,129600.0,134800.0,128000.0,134500.0,4535272
2026-05-11,128000.0,130700.0,126800.0,130700.0,3619903
2026-05-12,125600.0,134000.0,120500.0,130600.0,6170656
2026-05-13,120000.0,124600.0,117500.0,123800.0,4596035
2026-05-14,117100.0,122300.0,116000.0,121600.0,4374858
2026-05-15,110800.0,118900.0,108400.0,118800.0,5217764
2026-05-18,112100.0,113600.0,103500.0,108100.0,4669776
2026-05-19,106000.0,112900.0,103900.0,111000.0,3654573
2026-05-20,101300.0,107100.0,99700.0,106400.0,4332142
2026-05-21,108400.0,109500.0,106800.0,107200.0,2673341
2026-05-22,111600.0,117000.0,110600.0,117000.0,2908260
2026-05-26,112600.0,115800.0,111000.0,114300.0,3027392
2026-05-27,108500.0,114800.0,108200.0,114700.0,3275977
2026-05-28,105900.0,111800.0,102200.0,110600.0,3224326
2026-05-29,105600.0,107500.0,102500.0,107400.0,4626529
2026-06-01,106900.0,114200.0,106900.0,109300.0,4623394
2026-06-02,100000.0,109300.0,99700.0,108800.0,4963793
2026-06-04,99200.0,100400.0,97900.0,100000.0,2776755
2026-06-05,95600.0,100100.0,92600.0,100000.0,3954422
2026-06-08,85800.0,90400.0,85500.0,87000.0,3956048
2026-06-09,92300.0,93300.0,87700.0,88300.0,3082661
2026-06-10,91100.0,92100.0,87500.0,89900.0,153
2026-06-11,88600.0,89200.0,85300.0,88500.0,3002950
2026-06-12,93100.0,95000.0,91100.0,93300.0,2998526
2026-06-15,99800.0,101200.0,97600.0,100400.0,2520626
2026-06-16,103300.0,105500.0,101800.0,105100.0,3301721
2026-06-17,103200.0,106200.0,102500.0,104500.0,2408504
2026-06-18,99600.0,109300.0,99600.0,108600.0,4268637
2026-06-19,97900.0,101900.0,94300.0,101000.0,4391283
2026-06-22,94200.0,97000.0,94100.0,95600.0,2146567
2026-06-23,89200.0,98700.0,89000.0,94000.0,4439638
2026-06-24,90600.0,92800.0,87200.0,89300.0,3053656
2026-06-25,87800.0,93200.0,87600.0,92100.0,2738234
2026-06-26,81100.0,87800.0,79300.0,86900.0,4769262
2026-06-29,88000.0,88600.0,79600.0,80400.0,4231835
2026-06-30,86800.0,88600.0,84500.0,88400.0,2498630
2026-07-01,88500.0,90800.0,86100.0,89100.0,2186748
2026-07-02,86000.0,89400.0,84100.0,87300.0,2538076
2026-07-03,86200.0,87400.0,80100.0,86000.0,2936728
