,Close,High,Low,Open,Volume
2026-03-26,81238.59375,83394.00496897979,80860.27676930148,83229.73575367648,17119970
2026-03-27,80865.2578125,81183.84054564867,77395.69273430287,78535.62157635042,16138200
2026-03-30,78331.53125,78799.44964968861,76365.27840024466,76982.53245940836,17986750
2026-03-31,75095.921875,77729.20721716326,74777.33914929404,75947.1350952456,23751280
2026-04-01,81806.0703125,82443.2357621775,78535.61952782722,79580.96909370436,22033480
2026-04-02,77843.6953125,83384.04784369405,76678.87726011958,82846.43951182616,34620270
2026-04-03,80218.1328125,80840.36468352466,79252.42894866972,79854.7493998216,14703480
2026-04-06,81387.9296875,82488.03564841361,80847.33463159404,81049.43554568043,13066640
2026-04-07,82403.4140625,84011.26127418222,81323.21949613764,83184.93732019074,19650420
2026-04-08,88605.8203125,89671.08129827949,87012.90668890449,87460.91364554073,29329010
2026-04-09,86863.5703125,88341.99325707377,86684.36753133954,87918.8755793338,20553040
2026-04-10,88262.3515625,89407.25827161822,88127.94947056004,88401.731509697,12112240
2026-04-13,87490.78125,87699.85116422964,86027.29185039259,86082.04825650035,13658530
2026-04-14,90029.484375,91194.3024300564,89556.58815606685,89845.30374236287,17031930
2026-04-15,92254.5859375,93762.87598978849,91796.6232813596,92991.30847129108,22556410
2026-04-16,94290.53125,94335.33194587425,92622.94979245856,93046.06747571535,16849470
2026-04-17,93633.453125,94265.64071388224,93215.31330243222,94136.21648308745,13116520
2026-04-20,94081.4609375,95012.31983672289,93339.76053116734,94066.52737227183,14275540
2026-04-21,96490.7421875,96580.34357830556,95201.47773090887,95256.23413640115,18194780
2026-04-22,96869.0625,96968.61960431654,95415.52877697842,96555.45762140288,18496010
2026-04-23,97919.390625,99412.74720003431,95251.2602109387,97999.03630900182,23967300
2026-04-24,97565.9609375,98591.39909837372,96480.7885148278,98257.88280333226,16267000
2026-04-27,99796.0390625,100716.94225616333,98466.95175056427,98546.59743217839,15757180
2026-04-28,100254.0,101602.99870903675,99975.24011916584,100408.31350546177,14306460
2026-04-29,101045.0,101300.0,99520.0,99750.0,12365720
2026-04-30,99905.0,102230.0,99845.0,101755.0,16456250
2026-05-04,105295.0,105300.0,101865.0,102530.0,18089450
2026-05-06,113270.0,114320.0,110500.0,111460.0,29550190
2026-05-07,115620.0,116180.0,111635.0,115305.0,26974170
2026-05-08,115810.0,115870.0,112660.0,113000.0,21327490
2026-05-11,121805.0,123305.0,119900.0,120630.0,27029560
2026-05-12,119100.0,124800.0,115645.0,124065.0,32050390
2026-05-13,122655.0,122795.0,114905.0,116485.0,23232590
2026-05-14,124855.0,125412.0,122605.0,122790.0,23542840
2026-05-15,117200.0,126140.0,115095.0,124535.0,30488390
2026-05-18,117840.0,119900.0,111545.0,116060.0,26713440
2026-05-19,114315.0,116480.0,111755.0,116105.0,22841550
2026-05-20,113340.0,115120.0,110485.0,114795.0,22359550
2026-05-21,123060.0,123320.0,117525.0,117695.0,19375730
2026-05-22,123350.0,124140.0,122120.0,124105.0,18073090
2026-05-26,126755.0,128250.0,125850.0,126380.0,17406510
2026-05-27,130600.0,134855.0,129645.0,129745.0,28161690
2026-05-28,129990.0,131300.0,124255.0,129535.0,23583700
2026-05-29,134815.0,134950.0,132000.0,133530.0,18852380
2026-06-01,141395.0,142310.0,134815.0,135000.0,25511960
2026-06-02,141575.0,143645.0,136430.0,142700.0,25782080
2026-06-04,138730.0,140970.0,137460.0,138375.0,17958590
2026-06-05,131030.0,134560.0,128485.0,133445.0,24790440
2026-06-08,119560.0,125665.0,117930.0,119015.0,28098581
2026-06-09,130130.0,130445.0,121410.0,124780.0,18130146
2026-06-10,123795.0,128025.0,120360.0,125915.0,17940670
2026-06-11,123850.0,124875.0,117840.0,119145.0,13788820
2026-06-12,129270.0,135360.0,129260.0,131505.0,23629780
2026-06-15,136290.0,137990.0,135720.0,136320.0,21585190
2026-06-16,139550.0,140425.0,136650.0,139500.0,16326020
2026-06-17,142055.0,142350.0,137610.0,137720.0,16301200
2026-06-18,146945.0,147180.0,142180.0,142305.0,20153820
2026-06-19,146910.0,152455.0,143100.0,149000.0,26620200
2026-06-22,148355.0,150735.0,144345.0,144690.0,19335392
2026-06-23,132820.0,149200.0,132500.0,148310.0,32931869
2026-06-24,138145.0,139495.0,130855.0,134645.0,32994512
2026-06-25,145830.0,148120.0,143120.0,145980.0,17200294
2026-06-26,139580.0,144850.0,139540.0,143990.0,9468293
