,Close,High,Low,Open,Volume
2026-04-15,1135810.125,1172803.940691021,1129811.1278609154,1164805.2778389084,4093703
2026-04-16,1154806.875,1160805.8717532468,1129811.0551948051,1140809.2159090908,2901319
2026-04-17,1127811.375,1154806.8600398935,1120812.5455452127,1148807.8633643617,3578235
2026-04-20,1165805.0,1174803.4948542023,1140809.1809605488,1147808.0102915952,3748014
2026-04-21,1223795.375,1227794.7062908497,1192800.5574959149,1195800.0559640522,3516960
2026-04-22,1222795.5,1232793.8278822568,1194800.1819296812,1226794.8311529027,2894919
2026-04-23,1224795.25,1266788.23,1182802.27,1219796.0857142857,5343871
2026-04-24,1221795.75,1241792.4071194762,1192800.5971767595,1236793.2428396072,3127857
2026-04-27,1291784.0,1316779.8204334367,1248791.1888544892,1252790.5201238391,4563073
2026-04-28,1299782.625,1327777.943076923,1295783.293846154,1312780.45125,3002713
2026-04-29,1292783.875,1316779.8633990719,1280785.880800464,1283785.3793503481,3001208
2026-04-30,1285785.0,1324778.4797822705,1285785.0,1311780.6531881804,3342342
2026-05-04,1446758.125,1449757.6235314445,1332777.180805114,1338776.1778680028,5776641
2026-05-06,1600732.375,1613730.2019050594,1556739.7300905683,1589734.213772642,6631934
2026-05-07,1653723.5,1664721.6611245465,1566738.0438331317,1621728.8494558646,5860618
2026-05-08,1685718.125,1688717.6234430603,1590734.0076364174,1590734.0076364174,4278087
2026-05-11,1879685.625,1948674.086768617,1825694.6549202127,1832693.484375,7433039
2026-05-12,1834693.25,1966671.1840599454,1803698.4321525884,1943675.0288828337,9160593
2026-05-13,1975669.625,1989667.2842864373,1780702.2277960526,1780702.2277960526,7126921
2026-05-14,1969670.625,1993666.6123096447,1936676.1424492386,1975669.6218274112,6040068
2026-05-15,1818695.875,1994666.4489417262,1788700.8908053876,1949673.9726498076,7485233
2026-05-18,1839692.375,1896682.8453125,1730710.5984375,1779702.40625,6481608
2026-05-19,1744708.25,1822695.209025788,1739709.0859598853,1790700.5591690545,4575855
2026-05-20,1744708.25,1777702.7326647565,1689717.4455587391,1742708.584383954,5535123
2026-05-21,1939675.625,1953673.2841494845,1795699.7023195876,1800698.8663015463,5096690
2026-05-22,1940675.5,1951673.6609994848,1911680.3482740854,1941675.332818135,3135190
2026-05-26,2051656.875,2086651.0224780703,2005664.566885965,2007664.2324561405,4903591
2026-05-27,2242625.0,2357605.7735176105,2199632.189032546,2278618.981275078,7545783
2026-05-28,2289000.0,2305000.0,2151000.0,2189000.0,6229499
2026-05-29,2333000.0,2379000.0,2290500.0,2352000.0,8518013
2026-06-01,2363000.0,2398000.0,2296000.0,2299000.0,5602897
2026-06-02,2360000.0,2407000.0,2259000.0,2376000.0,5837216
2026-06-04,2298000.0,2327000.0,2262000.0,2284000.0,3941067
2026-06-05,2070000.0,2188000.0,2070000.0,2142000.0,5778751
2026-06-08,1911000.0,2072000.0,1855000.0,1856000.0,6610833
2026-06-09,2215000.0,2226000.0,1998000.0,2050000.0,5878039
2026-06-10,2048000.0,2180000.0,1992000.0,2137000.0,151
2026-06-11,2101000.0,2163000.0,1960000.0,1975000.0,6625775
2026-06-12,2150000.0,2304000.0,2150000.0,2281000.0,5286416
2026-06-15,2288000.0,2322000.0,2265000.0,2283000.0,3872910
2026-06-16,2382000.0,2400000.0,2286000.0,2381000.0,3644469
2026-06-17,2521000.0,2523000.0,2334000.0,2335000.0,3980010
2026-06-18,2685000.0,2738000.0,2556000.0,2556000.0,5808765
2026-06-19,2764000.0,2891000.0,2688000.0,2824000.0,7478195
2026-06-22,2919000.0,2945000.0,2728000.0,2728000.0,5179795
2026-06-23,2555000.0,2943000.0,2536000.0,2898000.0,8050335
2026-06-24,2621000.0,2703000.0,2453000.0,2598000.0,7487916
2026-06-25,2917000.0,2987000.0,2749000.0,2865000.0,6790853
2026-06-26,2673000.0,2880000.0,2600000.0,2850000.0,7467492
2026-06-29,2628000.0,2688000.0,2517000.0,2636000.0,5217788
2026-06-30,2650000.0,2742000.0,2541000.0,2608000.0,5109213
2026-07-01,2560000.0,2723000.0,2502000.0,2665000.0,4277276
2026-07-02,2187000.0,2448000.0,2187000.0,2351000.0,7685914
2026-07-03,2425000.0,2454000.0,2045000.0,2197000.0,7984914
2026-07-06,2343000.0,2497000.0,2292000.0,2450000.0,4235360
2026-07-07,2201000.0,2343000.0,2080000.0,2289000.0,6351195
2026-07-08,2076000.0,2329000.0,2076000.0,2118000.0,6975631
2026-07-09,2186000.0,2270000.0,2091000.0,2228000.0,6261504
2026-07-10,2180000.0,2305000.0,2166000.0,2296000.0,4827239
2026-07-13,1845000.0,2142000.0,1839000.0,2113000.0,8040043
2026-07-14,1913000.0,1936000.0,1678000.0,1825000.0,10447011
2026-07-15,2085000.0,2171000.0,2070000.0,2120000.0,4757381
