,Samsung,SKHynix,DosanEner,Kodex200
2026-04-03,186200.0,875853.5625,96600.0,
2026-04-06,193100.0,885851.875,95700.0,
2026-04-07,196500.0,915846.875,94900.0,
2026-04-08,210500.0,1032827.3125,101200.0,
2026-04-09,204000.0,997833.125,100000.0,
2026-04-10,206000.0,1026828.3125,100200.0,
2026-04-13,201000.0,1039826.125,99300.0,
2026-04-14,206500.0,1102815.625,99700.0,
2026-04-15,211000.0,1135810.125,104200.0,
2026-04-16,217500.0,1154806.875,110800.0,
2026-04-17,216000.0,1127811.375,108500.0,
2026-04-20,214500.0,1165805.0,111000.0,
2026-04-21,219000.0,1223795.375,115700.0,
2026-04-22,217500.0,1222795.5,115900.0,
2026-04-23,224500.0,1224795.25,122600.0,
2026-04-24,219500.0,1221795.75,127100.0,
2026-04-27,224500.0,1291784.0,128900.0,
2026-04-28,222000.0,1299782.625,127800.0,
2026-04-29,226000.0,1292783.875,129200.0,
2026-04-30,220500.0,1285785.0,127100.0,
2026-05-04,232500.0,1446758.125,127200.0,
2026-05-06,266000.0,1600732.375,127000.0,
2026-05-07,271500.0,1653723.5,136400.0,
2026-05-08,268500.0,1685718.125,129600.0,
2026-05-11,285500.0,1879685.625,128000.0,
2026-05-12,279000.0,1834693.25,125600.0,
2026-05-13,284000.0,1975669.625,120000.0,
2026-05-14,296000.0,1969670.625,117100.0,
2026-05-15,270500.0,1818695.875,110800.0,
2026-05-18,281000.0,1839692.375,112100.0,
2026-05-19,275500.0,1744708.25,106000.0,
2026-05-20,276000.0,1744708.25,101300.0,
2026-05-21,299500.0,1939675.625,108400.0,
2026-05-22,292500.0,1940675.5,111600.0,
2026-05-26,299000.0,2051656.875,112600.0,
2026-05-27,307000.0,2242625.0,108500.0,
2026-05-28,299500.0,2289000.0,105900.0,
2026-05-29,317000.0,2333000.0,105600.0,
2026-06-01,349000.0,2363000.0,106900.0,
2026-06-02,360500.0,2360000.0,100000.0,
2026-06-04,351500.0,2298000.0,99200.0,
2026-06-05,329000.0,2070000.0,95600.0,
2026-06-08,295500.0,1911000.0,85800.0,
2026-06-09,322000.0,2215000.0,92300.0,
2026-06-10,302500.0,2048000.0,91100.0,
2026-06-11,299000.0,2101000.0,88600.0,
2026-06-12,322500.0,2150000.0,93100.0,
2026-06-15,337000.0,2288000.0,99800.0,
2026-06-16,343000.0,2382000.0,103300.0,
2026-06-17,346500.0,2521000.0,103200.0,
2026-06-18,362500.0,2685000.0,99600.0,
2026-06-19,354000.0,2764000.0,97900.0,
2026-06-22,353500.0,2919000.0,94200.0,
2026-06-23,310000.0,2555000.0,89200.0,
2026-06-24,340500.0,2621000.0,90600.0,
2026-06-25,358500.0,2917000.0,87800.0,
2026-06-26,339500.0,2673000.0,81100.0,
2026-06-29,323000.0,2628000.0,88000.0,
2026-06-30,334000.0,2650000.0,86800.0,
2026-07-01,314500.0,2560000.0,88500.0,
2026-07-02,286000.0,2187000.0,86000.0,
2026-07-03,309500.0,2425000.0,86200.0,131010.0
