,Close,High,Low,Open,Volume
2026-04-03,186200.0,187200.0,182700.0,184200.0,20194447
2026-04-06,193100.0,194600.0,190100.0,190900.0,20635958
2026-04-07,196500.0,202500.0,192400.0,202000.0,30848053
2026-04-08,210500.0,214500.0,207500.0,214000.0,35890973
2026-04-09,204000.0,207500.0,202000.0,207000.0,42320839
2026-04-10,206000.0,211000.0,205500.0,208500.0,18244459
2026-04-13,201000.0,203000.0,198200.0,198200.0,19603415
2026-04-14,206500.0,210000.0,205500.0,208000.0,23672078
2026-04-15,211000.0,215500.0,210000.0,215000.0,24092884
2026-04-16,217500.0,218000.0,210500.0,212000.0,21499788
2026-04-17,216000.0,218000.0,215000.0,217000.0,18079322
2026-04-20,214500.0,219000.0,213000.0,214500.0,17107741
2026-04-21,219000.0,220000.0,216000.0,218000.0,16752132
2026-04-22,217500.0,222500.0,215500.0,218500.0,16823480
2026-04-23,224500.0,229500.0,216000.0,223000.0,34525485
2026-04-24,219500.0,225000.0,216500.0,224000.0,19626666
2026-04-27,224500.0,226000.0,218500.0,220000.0,22870374
2026-04-28,222000.0,226000.0,221500.0,224000.0,18444490
2026-04-29,226000.0,228000.0,218500.0,219500.0,20363756
2026-04-30,220500.0,230000.0,220500.0,229000.0,22161975
2026-05-04,232500.0,232500.0,224000.0,228000.0,32920816
2026-05-06,266000.0,270000.0,251000.0,254000.0,53097996
2026-05-07,271500.0,277000.0,260000.0,272000.0,41404687
2026-05-08,268500.0,270000.0,260000.0,260000.0,25875880
2026-05-11,285500.0,288500.0,280000.0,284500.0,36031094
2026-05-12,279000.0,291500.0,266000.0,290000.0,41211149
2026-05-13,284000.0,285500.0,262000.0,264000.0,35540134
2026-05-14,296000.0,299500.0,282000.0,282000.0,39314752
2026-05-15,270500.0,296500.0,266000.0,291000.0,38075487
2026-05-18,281000.0,288500.0,262000.0,269500.0,33555214
2026-05-19,275500.0,281500.0,266000.0,274000.0,30767569
2026-05-20,276000.0,282500.0,263500.0,278000.0,35662077
2026-05-21,299500.0,299500.0,287000.0,291000.0,36168689
2026-05-22,292500.0,300500.0,292000.0,300000.0,18395274
2026-05-26,299000.0,302000.0,297500.0,298000.0,23441371
2026-05-27,307000.0,323000.0,306000.0,321500.0,33916688
2026-05-28,299500.0,306500.0,287500.0,305000.0,30195334
2026-05-29,317000.0,319000.0,305500.0,309500.0,37241537
2026-06-01,349000.0,354500.0,319500.0,319500.0,45052488
2026-06-02,360500.0,370000.0,342000.0,360500.0,44720282
2026-06-04,351500.0,366000.0,348000.0,349000.0,34771037
2026-06-05,329000.0,343000.0,325000.0,333500.0,33725012
2026-06-08,295500.0,315500.0,292500.0,293000.0,38929682
2026-06-09,322000.0,324000.0,300000.0,310000.0,30124249
2026-06-10,302500.0,314500.0,295250.0,311000.0,1191
2026-06-11,299000.0,306500.0,287500.0,290500.0,31420307
2026-06-12,322500.0,339000.0,320000.0,326000.0,31006148
2026-06-15,337000.0,344500.0,334000.0,342500.0,21500067
2026-06-16,343000.0,345500.0,332500.0,343000.0,17548685
2026-06-17,346500.0,348000.0,331500.0,332000.0,18134051
2026-06-18,362500.0,363000.0,344500.0,345000.0,32764450
2026-06-19,354000.0,374500.0,346250.0,372500.0,43284898
2026-06-22,353500.0,363000.0,342000.0,343000.0,24330451
2026-06-23,310000.0,353000.0,310000.0,347500.0,41266630
2026-06-24,340500.0,341000.0,314000.0,314000.0,47809959
2026-06-25,358500.0,362500.0,352000.0,359500.0,36157158
2026-06-26,339500.0,356500.0,321500.0,354000.0,39735951
2026-06-29,323000.0,335500.0,316000.0,331000.0,35436521
2026-06-30,334000.0,343000.0,321000.0,323500.0,29237216
2026-07-01,314500.0,339000.0,311500.0,334500.0,24968382
2026-07-02,286000.0,304000.0,281500.0,290000.0,38905074
2026-07-03,309500.0,313000.0,283500.0,288500.0,31520538
